IE_NAME;IP_PROP70;IP_PROP97;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
Кредо;150;Credo;Белорусские сигареты;Credo;;16250.00
Корона 20 желтая;120;Корона;Белорусские сигареты;Корона;;23500.00
Корона 20 (голубая);121;Корона;Белорусские сигареты;Корона;;23000.00
Корона слим (серая);129;Корона;Белорусские сигареты;Корона;;19500.00
Корона слим 100;123;Корона;Белорусские сигареты;Корона;;26500.00
Корона Стиль;130;Корона;Белорусские сигареты;Корона;;15400.00
Корона Superslims;128;Корона;Белорусские сигареты;Корона;;15400.00
Корона Superslims (голубая);126;Корона;Белорусские сигареты;Корона;;15400.00
Корона Superslims Menthol;127;Корона;Белорусские сигареты;Корона;;15400.00
Магнат;180;Магнат;Белорусские сигареты;Магнат;;15500.00
Магнат 7;181;Магнат;Белорусские сигареты;Магнат;;16750.00
Queen Elegance SS;172;Queen;Белорусские сигареты;Queen;;21250.00
Queen Menthol SS;171;Queen;Белорусские сигареты;Queen;;21250.00
Queen Superslims;170;Queen;Белорусские сигареты;Queen;;21250.00
Корона 24;125;Корона;Белорусские сигареты;Корона;;25200.00
NZ 10;145;НЗ;Белорусские сигареты;NZ;;18000.00
NZ 8;146;НЗ;Белорусские сигареты;NZ;;18000.00
NZ Black SS;148;НЗ;Белорусские сигареты;NZ;;19750.00
NZ Black Power;142;НЗ;Белорусские сигареты;NZ;;18500.00
NZ Gold SS;147;НЗ;Белорусские сигареты;NZ;;19750.00
NZ Gold Compact;149;НЗ;Белорусские сигареты;NZ;;18750.00
NZ Gold MS;140;НЗ;Белорусские сигареты;NZ;;21750.00
NZ Gold QS;141;НЗ;Белорусские сигареты;NZ;;19250.00
NZ Safary;143;НЗ;Белорусские сигареты;NZ;;18250.00
Minsk (красный);160;Минск;Белорусские сигареты;Минск;;16800.00
Minsk Capital;161;Минск;Белорусские сигареты;Минск;;20000.00
Minsk Capital MS;163;Минск;Белорусские сигареты;Минск;;20250.00
Minsk City MS;162;Минск;Белорусские сигареты;Минск;;20000.00
Фэст;110;Фэст;Белорусские сигареты;Фэст;;14250.00
Фэст 7;111;Фэст;Белорусские сигареты;Фэст;;14250.00
Фэст Compact;114;Фэст;Белорусские сигареты;Фэст;;16250.00
Фэст Compact 7;115;Фэст;Белорусские сигареты;Фэст;;16250.00
Фэст Superslims;112;Фэст;Белорусские сигареты;Фэст;;15000.00
Фэст Superslims 7;113;Фэст;Белорусские сигареты;Фэст;;15000.00
