IE_XML_ID;IE_NAME;CV_PRICE_1
105;Кредо;17250.00
106;Корона 20 желтая;22500.00
107;Корона 20 (голубая);24000.00
109;Корона слим (серая);20500.00
110;Корона слим 100;27500.00
111;Корона Стиль;16400.00
112;Корона Superslims;16400.00
113;Корона Superslims (голубая);16400.00
114;Корона Superslims Menthol;16400.00
115;Магнат;16500.00
116;Магнат 7;17750.00
118;Queen Elegance SS;22250.00
119;Queen Menthol SS;22250.00
120;Queen Superslims;22250.00
121;Корона 24;26000.00
122;NZ 10;19000.00
123;NZ 8;19000.00
124;NZ Black SS;20750.00
125;NZ Black Power;19500.00
126;NZ Gold SS;20750.00
127;NZ Gold Compact;19750.00
128;NZ Gold MS;22750.00
129;NZ Gold QS;20250.00
130;NZ Safary;19250.00
131;Minsk (красный);17800.00
132;Minsk Capital;21000.00
133;Minsk Capital MS;21250.00
134;Minsk City MS;21000.00
135;Фэст;14250.00
136;Фэст 7;15250.00
137;Фэст Compact;17250.00
138;Фэст Compact 7;17250.00
139;Фэст Superslims;16000.00
140;Фэст Superslims 7;16000.00
141;Dubao синий ;21750.00
142;Dubao красный ;21750.00
143;Milano New York;33500.00
144;Milano Paris;33500.00
145;Milano London;33500.00
146;Fast красный;18750.00
147;FAST красный дубль;16000.00
148;FAST синий;16000.00
149;Пётр 1 Эталон;23500.00
150;Marble (Марбле) Filter De Luxe;23000.00
151;Phillip Morris DARK BLUE (МРЦ 125);23000.00
152;Phillip Morris blue (МРЦ 125);23500.00
153;Phillip Morris red (МРЦ 125);23500.00
154;Dunston Classic (красный);17000.00
155;D&A синий;16500.00
156;D&A красный;16500.00
157;Tron красный;34000.00
158;Прима из Питера (МРЦ 37);9500.00
159;Донской табак (светлый);20000.00
160;Донской табак (темный);24500.00
161;Максим красный (МРЦ 96);25000.00
162;2222;19000.00
163;ОПАЛ;19000.00
164;ТУ-134;19000.00
165;РОДОПИ;19000.00
166;СТЮАРДЕССА;19000.00
167;СТОЛИЧНЫЕ;19000.00
168;КОСМОС;19000.00
169;БТ 65 мрц;19000.00
170;Винстон синий (178 мрц);45000.00
171;Portal Silver;21750.00
172;Portal One;21750.00
173;Portal Gold;21750.00
174;Kalipso слим;22750.00
175;Kalipso спешл голд;26500.00
176;Kalipso ss;21500.00
177;Kalipso nano;26250.00
178;Dove Platinum KingSize;19500.00
179;Dove Gold KingSize;19500.00
180;Dove Platinum Slim;33000.00
181;Dove Gold Slim;33000.00
182;Dove Platinum Compact (nano);26500.00
183;Dove Gold Compact (nano);26500.00
184;Dove Silver Compact (nano);26500.00
185;Dove Platinum SuperSlims;25000.00
186;Dove Menthol SuperSlims;25000.00
187;Dove Platinum QS (medium);29500.00
188;Dove Gold QS (medium);29500.00
189;Максим красный (126) ;19000.00
190;Престиж красный (МРЦ 50) ;8400.00
191;Престиж синий (МРЦ 52);8100.00
192;БТ 60 мрц;18500.00
193;Премьер;20500.00
194;Корона 21;16400.00
195;Корона слим 100 голубая;23250.00
196;Minsk City nano;21750.00
197;Minsk Capital nano;21750.00
198;Minsk 5 SS;24500.00
199;Кресты ++ синие  (МРЦ 65);27000.00
200;Кресты ++ красные (МРЦ 65);27000.00
201;Фараон (МРЦ 65) ;27000.00
202;Тройка;21000.00
203;Dove Silver KingSize;19500.00
204;Dove Silver QS (medium);29500.00
205;Dove Silver Slim;33000.00
206;Dove Menthol Slim;33000.00
207;Dove Silver SuperSlims;25000.00
208;Dove Gold SuperSlims;25000.00
