IE_NAME;IP_PROP70;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
Кредо;150;Белорусские сигареты;Credo;;16250.00
Корона 20 желтая;120;Белорусские сигареты;Корона;;0.00
Корона 20 (голубая);121;Белорусские сигареты;Корона;;23000.00
Корона слим (серая);129;Белорусские сигареты;Корона;;19500.00
Корона слим 100;123;Белорусские сигареты;Корона;;26500.00
Корона Стиль;130;Белорусские сигареты;Корона;;15400.00
Корона Superslims;128;Белорусские сигареты;Корона;;15400.00
Корона Superslims (голубая);126;Белорусские сигареты;Корона;;15400.00
Корона Superslims Menthol;127;Белорусские сигареты;Корона;;15400.00
Магнат;180;Белорусские сигареты;Магнат;;15500.00
Магнат 7;181;Белорусские сигареты;Магнат;;16750.00
Queen Elegance SS;172;Белорусские сигареты;Queen;;21250.00
Queen Menthol SS;171;Белорусские сигареты;Queen;;21250.00
Queen Superslims;170;Белорусские сигареты;Queen;;21250.00
Корона 24;125;Белорусские сигареты;Корона;;25200.00
NZ 10;145;Белорусские сигареты;NZ;;18000.00
NZ 8;146;Белорусские сигареты;NZ;;18000.00
NZ Black SS;148;Белорусские сигареты;NZ;;19750.00
NZ Black Power;142;Белорусские сигареты;NZ;;18500.00
NZ Gold SS;147;Белорусские сигареты;NZ;;19750.00
NZ Gold Compact;149;Белорусские сигареты;NZ;;18750.00
NZ Gold MS;140;Белорусские сигареты;NZ;;21750.00
NZ Gold QS;141;Белорусские сигареты;NZ;;19250.00
NZ Safary;143;Белорусские сигареты;NZ;;18250.00
Minsk (красный);160;Белорусские сигареты;Минск;;16800.00
Minsk Capital;161;Белорусские сигареты;Минск;;20000.00
Minsk Capital MS;163;Белорусские сигареты;Минск;;20250.00
Minsk City MS;162;Белорусские сигареты;Минск;;20000.00
Фэст;110;Белорусские сигареты;Фэст;;14250.00
Фэст 7;111;Белорусские сигареты;Фэст;;14250.00
Фэст Compact;114;Белорусские сигареты;Фэст;;16250.00
Фэст Compact 7;115;Белорусские сигареты;Фэст;;21500.00
Фэст Superslims;112;Белорусские сигареты;Фэст;;15000.00
Фэст Superslims 7;113;Белорусские сигареты;Фэст;;15000.00
Dubao синий ;367;Арабские сигареты; Dubao;;21750.00
